날짜,사용자 이름,리뷰,평점,도움
"April 19, 2020",Alicia Mont,"Alicia Mont5.0 out of 5 stars
Very cute colors!
Reviewed in the United States on April 19, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  My skin tone is neutral to warm; these colors are very beautiful and complement my skin, and blend great. It is a tiny palette, so I recommend it as a starting nude palette to see if you really like these colors.Some colors have a slight shimmer to them, others are more matte. Enjoy!




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"February 15, 2021",akanksha bapna,"akanksha bapna5.0 out of 5 stars
Maybelline never disappoints !!!
Reviewed in the United States on February 15, 2021Color: 120 THE 24K NUDESVerified Purchase

  I have used Maybelline ever since I started using makeup !!! this is amazing... Im Indian and have wheatish brown skin  with really dark eyelids, so my problem is mostly trying to get the colour to show and last... This works ... even the lighter colours show up without a primer ... Maybelline products have always lasted a long while for me... its just been a week or so for me, but I will let you know if i have any problems in the future :)




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"January 26, 2021",Chris Haughaboo,"Chris Haughaboo5.0 out of 5 stars
Surprisingly beautiful & last all day
Reviewed in the United States on January 26, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  This sincerely really shocked me. This is beautiful make-up. I have some expansive make-up & this works every bit as gd. It last all day. I didn't need to touch up. My favorite pallet. I can't say enough gd of this. I thought I'd be disappointed but I was surprised instead. I'd buy other colors for sure




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"March 8, 2021",Jamie Taylor,"Jamie Taylor1.0 out of 5 stars
Huge mess upon delivery
Reviewed in the United States on March 8, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  Item appeared well packaged but once completely opened it was clear the item was ruined.  Over half the shadows were completely crumbled which caused the remainder shadows, as well as the inside and outside of the case to get coated in loose shadow dust.  A huge mess.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",1,0 people found this helpful
"October 7, 2017",Scattered Energy,"Scattered Energy5.0 out of 5 stars
Must Have Palette
Reviewed in the United States on October 7, 2017Color: 120 THE 24K NUDESVerified Purchase

  I saw several YouTubers who bought this palette, review it, all positive reviews, so I got it.  The pigments are awesome.  I love the colors and they're all very easy to blend.  I don't have problems with the eyeshadow creasing, flaking or not holding its color during the day.  It didn't cause any eye or skin irritation either nor did it bother my contact lenses.  Endless color combinations to wear in all seasons and all times of day.


2 people found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,2 people found this helpful
"May 23, 2021",TH,"TH5.0 out of 5 stars
Love it!
Reviewed in the United States on May 23, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  I watched several YouTube videos which suggested this was not as pigmented or easy to blend as a prior version.  I did not find that to be the case.I love the colors, they were easy to apply and blend and lasted through the day.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"December 5, 2020",Tereesa Jacquelynn Kelley,"Tereesa Jacquelynn Kelley2.0 out of 5 stars
Too nude for me
Reviewed in the United States on December 5, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  While the colors look amazing in packaging. When trying to make it show up on my skin it took a while. And even then it didn’t stay long. The colors are not supposed to be blend in with my skin colors just supposed to be lighter/hence the nude.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",2,0 people found this helpful
"October 20, 2015",Jamie Strough,"Jamie Strough5.0 out of 5 stars
Versatile and GREAT palette for travelling!!!
Reviewed in the United States on October 20, 2015Color: 02 THE NUDESVerified Purchase

  I personally LOVE this palette!!! I have been using it for a little over a week and have been able to create various day and night time looks from it! One of my favorite things about it is that the color seems to stay fairly pigmented throughout the day without all blending together to become too dark or creasing and wearing off to become too light! I can create looks that are soft and natural but then can easily/quickly transition to dramatic looks with smokey eyes all with this palette!!! If you are travelling and want a versatile palette that is going to allow you to create looks which are similar to those from the Naked and Full Exposure palettes and you don't want to bring your expensive make up with you I HIGHLY recommend you purchase this palette!!! The applicator in the palette is nothing special so I definitely recommend having your own brushes BUT if you are in a pinch and need to use the one that comes with the palette, it gets the job done.


3 people found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,3 people found this helpful
"May 14, 2021",KC,"KC1.0 out of 5 stars
Completely broken. So disappointed
Reviewed in the United States on May 14, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  I was really looking forward to getting this but it came completely destroyed. It actually looked like it had been used too but I imagine that was just from the shipment damage. I want another but afraid it will happen again.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",1,0 people found this helpful
"April 15, 2015",ae in vir,"ae in vir4.0 out of 5 stars
Good value for the price, great colors
Reviewed in the United States on April 15, 2015Color: 02 THE NUDESVerified Purchase

  Very good product for the price.Gorgeous colors and reasonably pigmented.  I get better application using my own brushes than the wand that comes with the palette.  My only complaint and the only reason it doesn't get five stars is that it doesn't last all day.  Even using Urban Decay's primer it is very much faded at the end of my long (10-11 hrs) work day.  I like it enough that I bought a second immediately after buying the first in case they discontinued it.I also use Urban Decay's Naked2 and Naked3 and, in comparison, they are more pigmented and last longer than the Maybelline palette.My favorite look uses the four on the right - they make an absolutely perfect look to wear with cool blues, greys, and blacks.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",4,0 people found this helpful
"December 13, 2020",Cheetara4,"Cheetara44.0 out of 5 stars
Definitely a shade or two darker than it looks online
Reviewed in the United States on December 13, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  I thought these were going to be a bit lighter. I bought it for my nice who is new to using makeup and thought this would be a good beginners pallet to start with. We’ll  see how she likes it. But not bad for $10.


















4.0 out of 5 stars

                Definitely a shade or two darker than it looks online
            


            
              
                  By Cheetara4 on December 13, 2020
              
              
            


            


            I thought these were going to be a bit lighter. I bought it for my nice who is new to using makeup and thought this would be a good beginners pallet to start with. We’ll  see how she likes it. But not bad for $10.
        


                Images in this review
            












          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",4,0 people found this helpful
"March 8, 2021",ljbarnes05,"ljbarnes055.0 out of 5 stars
My go to eye shaddow
Reviewed in the United States on March 8, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  Brown eyes and brown hair with some highlights.  This is my go to eye shadow kit.  Everyone always asks me what I use.  Maybe I was born with it....maybe its Maybelline ;)Love how it gives department store results at a really reasonable price! And the colors are great!




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"March 1, 2021",Hannah Park,"Hannah Park3.0 out of 5 stars
Very Nice But Whoever Handled It Wasn't Careful
Reviewed in the United States on March 1, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  The product came as expected and I like the color palate since it blends in well with my skin color. But I had to fix two colors myself in order to use it. Whoever had a hold of this wasn't very careful and it makes me think this wasn't secured during transport. I only got this to get the free delivery along with another product I bought but come on...at least try to handle things with care.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",3,0 people found this helpful
"March 19, 2021",LHL,"LHL2.0 out of 5 stars
Disappointed
Reviewed in the United States on March 19, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  I was looking for a new eyeshadow palette that would have great neutrals. The reviews caught my eye so I purchased it. However, these eyeshadows have hardly any pigment to them. Whether I use a brush, foam applicator, or even eyeshadow primer, they barely show up.


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",2,One person found this helpful
"August 31, 2020",Grace Hartzell,"Grace Hartzell1.0 out of 5 stars
Cheap
Reviewed in the United States on August 31, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  Crappy product, you literally get what you pay for. The colors are impossible to get to stay on your eyes and the palette just falls apart. Very crummy and cheap. It's unfortunate since the colors were exactly what I wanted but I'd rather spend more money and get a better longer lasting product


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",1,One person found this helpful
"October 10, 2017",KLW,"KLW4.0 out of 5 stars
This is a good palette for a great price
Reviewed in the United States on October 10, 2017Color: 06 THE BLUSHED NUDESVerified Purchase

  This is a good palette for a great price. I’m not super into eyeshadow and for my look, it’s definitely not worth it to buy expensive palettes at Sephora and Ulta. This palette is great; it’s got a great range of colors that are very versatile. I don’t invest in eyeshadow primer either, however I use liquid concealer as a primer and it works just as well. The colors are definitely more pigmented with primer so I’d suggest buying one or using liquid concealer/foundation (I don’t think they would show up as well or stay on for that long without it). I saw many people had packaging/damage issues but my product came wrapped in a ton of bubble wrap and was fine, so I assume amazon has now fixed that issue.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",4,0 people found this helpful
"April 9, 2018",Maria A. Rojas,"Maria A. Rojas4.0 out of 5 stars
Great product for anyone that doesn’t care about name brands
Reviewed in the United States on April 9, 2018Color: 02 THE NUDESVerified Purchase

  I bought it since I wanted a compact eyeshadow pallet for traveling and did not want to spend a lot of money on a new one. I’m not a make up expert and I don’t care about the brand as long as the product works.The shades in this pallet are great, however the pigmentation is not very strong. Make sure to prime your eyelids with a nice primer and it will last all day without creasing.  All in all is not a bad pallet if you’re looking for a soft look and wear it with a decent primer.


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",4,One person found this helpful
"July 3, 2017",B1987,"B19875.0 out of 5 stars
The is a great palette. The colors are not as pigmented as ...
Reviewed in the United States on July 3, 2017Color: 02 THE NUDESVerified Purchase

  The is a great palette. The colors are not as pigmented as the Urban Decay Naked palette, but this is a good, cheap alternative. I love the gold and brown tones. I prefer to use the shimmery shadows because I think they show up better on my skin. They seem to be easier to build on compared to the more matte shades. I would recommend this to anyone who wants to save money or is just learning how to do makeup. With the right primer, the color will last all day.


2 people found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,2 people found this helpful
"October 30, 2020",Casey,"Casey5.0 out of 5 stars
That everyday nude look
Reviewed in the United States on October 30, 2020Color: 06 THE BLUSHED NUDESVerified Purchase

  Perfect for everyday nude look! Applies easily and stays on for a long time! I buy extra applicator brushes so I don’t mix colors. Buy this if you need everyday eyeshadow that goes with everything!




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"January 2, 2021",Kelli,"Kelli2.0 out of 5 stars
Doesn't last long
Reviewed in the United States on January 2, 2021Color: 06 THE BLUSHED NUDESVerified Purchase

  The colors look beautiful in the package, unfortunately you have to apply a lot of the lighter shades to get the pigment to show. The darker colors are pretty.  The color doesn't last long.  After about two hours I needed to reapply.


















2.0 out of 5 stars

                Doesn't last long
            


            
              
                  By Kelli on January 2, 2021
              
              
            


            


            The colors look beautiful in the package, unfortunately you have to apply a lot of the lighter shades to get the pigment to show. The darker colors are pretty.  The color doesn't last long.  After about two hours I needed to reapply.
        


                Images in this review
            












          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",2,0 people found this helpful
"September 26, 2016",oktravelchick,"oktravelchick5.0 out of 5 stars
Beautiful
Reviewed in the United States on September 26, 2016Color: 06 THE BLUSHED NUDESVerified Purchase

  Strange to pick out a makeup on the internet, but this time it worked out! Beautiful colors, my favorite being the beautiful pink color (second row, 5th one). It has some glitter in it, making it rich and somewhat sparkly.My only complaint is the open storage compartment for the 2 applicators. It kept knocking out the second one onto the floor so often that I just put it away. That being my only complaint, it's all good after that!Does wear kind of quickly compared to some of my other brands, but not a big deal for me.




          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,0 people found this helpful
"October 26, 2015",Tea,"Tea5.0 out of 5 stars
Staple makeup item
Reviewed in the United States on October 26, 2015Color: 02 THE NUDESVerified Purchase

  Great little palette! Maybelline's The Nudes really is a staple in any makeup collection, with it's wide array of shades and limitless combinations. The colors are nicely pigmented and apply smoothly, my personal favorite is the gold one in the second row. The guide in the back is especially helpful, as it gives ideas for looks to wear. These shadows last all day atop ELF's eyelid primer, and I've been complimented on them numerous times since I've worn them out. With its variety and combinations, this is a must have and inexpensive neutral palette suitable for anyone!


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",5,One person found this helpful
"February 24, 2019",M. Carney,"M. Carney2.0 out of 5 stars
Meh
Reviewed in the United States on February 24, 2019Color: 06 THE BLUSHED NUDESVerified Purchase

  The colors look pretty at first but it takes several layers of this eyeshadow for any pigment to show up on me, and I have a very light skin color. You get what you pay for though. Go for something that costs a little more.


One person found this helpful

          Helpful


Report abuse

Showing 0 comments
There was a problem loading comments right now. Please try again later.",2,One person found this helpful
